ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
time,string,addr,port,addr,port,enum,string,interval,count,count,string,bool,bool,count,string,count,count,count,count,set[string]
1.726.892.806.777.080,CzBERZ2pKFkRA67iW7,192.168.0.66,58538,192.168.0.4,9575,tcp,-,1.021.955,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.806.777.080,CNZ6Rw1Ak20Ex2UNjh,192.168.0.66,52240,192.168.0.4,5802,tcp,-,1.021.952,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.806.777.080,CnmJKqxh0PNKgx3Z6,192.168.0.66,51372,192.168.0.4,9594,tcp,-,1.021.951,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.806.777.340,C6k4Z22T3z6kOybQC,192.168.0.66,37550,192.168.0.4,2811,tcp,-,1.021.688,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.806.777.340,Cg1Fwg263JOoAF6Eli,192.168.0.66,36470,192.168.0.4,8994,tcp,-,1.021.686,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.806.777.340,CymxZv2IM7aTNTm0w5,192.168.0.66,44248,192.168.0.4,2103,tcp,-,1.021.684,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.806.777.350,C3pkIy2U5PliYJl8qf,192.168.0.66,58858,192.168.0.4,3737,tcp,-,1.021.681,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.806.777.350,ChFjA81RTVnhJs9ILc,192.168.0.66,47508,192.168.0.4,2557,tcp,-,1.021.286,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.806.777.350,Cl6Z0f3nyf1qCGxx83,192.168.0.66,45070,192.168.0.4,5825,tcp,-,1.021.284,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.806.777.350,CFrMQf4IA3UwdfNvKe,192.168.0.66,55756,192.168.0.4,212,tcp,-,1.021.283,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.806.777.350,C1tTmj1XDWuJ09ILE,192.168.0.66,56622,192.168.0.4,6669,tcp,-,1.021.281,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.806.777.540,CLtwiR2zu3bgsPQmR,192.168.0.66,45016,192.168.0.4,1165,tcp,-,1.021.094,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.806.777.540,CMklsg3MA5ZyE7fuVj,192.168.0.66,51386,192.168.0.4,5431,tcp,-,1.021.092,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.806.777.540,CdgmBL2W9AgF3aDpyg,192.168.0.66,60702,192.168.0.4,32772,tcp,-,1.021.088,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.806.846.110,CQzBT53MWreUDX7Jb2,192.168.0.66,33392,192.168.0.4,1078,tcp,-,1.016.975,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.806.846.110,CXYF373rbIRGzerlCf,192.168.0.66,37972,192.168.0.4,691,tcp,-,1.016.969,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.751.955.730,CtO2mF1NubKliOrxy4,117.188.67.139,32945,192.168.0.4,6881,udp,-,642,98,303,SF,F,T,0,Dd,1,126,1,331,-
1.726.892.807.800.550,CajlxL2MyYdgW1Vo41,192.168.0.66,38814,192.168.0.4,3052,tcp,-,1.022.481,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.807.866.200,CEDWb13yUgAtLmpRt1,192.168.0.66,53850,192.168.0.4,1556,tcp,-,1.022.082,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.807.866.200,Cto4ig3pFr5iJcj887,192.168.0.66,41970,192.168.0.4,9900,tcp,-,1.022.079,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.807.866.390,CrPHdOIObAbKKPQc5,192.168.0.66,54438,192.168.0.4,13783,tcp,-,1.021.894,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.807.866.390,CpxuTb4McsTlt0Wx2c,192.168.0.66,48098,192.168.0.4,49165,tcp,-,1.021.892,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.807.866.390,ChybE32stJziqLzCN3,192.168.0.66,59896,192.168.0.4,3689,tcp,-,1.021.890,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.807.866.510,CLysay2YYJ8myiljw6,192.168.0.66,40640,192.168.0.4,1035,tcp,-,1.021.771,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.807.866.570,CYEUmx1x9V0hTyQ093,192.168.0.66,42132,192.168.0.4,27715,tcp,-,1.021.705,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.807.866.640,CruVaB1AZdZtZ8dm87,192.168.0.66,46768,192.168.0.4,1072,tcp,-,1.021.637,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.807.866.640,CpperO2ReTy5ohQla7,192.168.0.66,41008,192.168.0.4,700,tcp,-,1.021.458,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.807.866.730,CvggXV1637vU6Yu3se,192.168.0.66,42140,192.168.0.4,2399,tcp,-,1.021.366,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.807.866.840,C3fKcudeQKs3sMU7j,192.168.0.66,44886,192.168.0.4,3945,tcp,-,1.021.257,0,0,S0,T,T,0,S,2,120,0,0,-
