ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
time,string,addr,port,addr,port,enum,string,interval,count,count,string,bool,bool,count,string,count,count,count,count,set[string]
1.726.891.581.310.210,CQZw2s1tvoJwUkvRw5,192.168.0.66,35075,192.168.0.4,8021,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.310.210,CGfEcU3q8swsc97Uv3,192.168.0.66,35075,192.168.0.4,1,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.310.210,CO0KAM20VX0rYbTexc,192.168.0.66,35075,192.168.0.4,1805,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.310.210,C9KwzN30OksWMFzyL2,192.168.0.66,35075,192.168.0.4,52848,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.310.210,Cs32fp3laXEvf8tU1j,192.168.0.66,35075,192.168.0.4,1057,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.310.210,C6TarC4ysG72X8PpNd,192.168.0.66,35075,192.168.0.4,19,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.310.220,C88liu2ttOS1TLY8T7,192.168.0.66,35075,192.168.0.4,1040,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.310.220,CdnP4MgJl5lSHYrra,192.168.0.66,35075,192.168.0.4,6006,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.310.420,CqHInz4317qyKN4YT5,192.168.0.66,35075,192.168.0.4,995,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.310.420,C3ju8i22EwWDp1MHg4,192.168.0.66,35075,192.168.0.4,1723,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.310.420,CoBxq54sQH1ITZwsZ5,192.168.0.66,35075,192.168.0.4,5900,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.312.360,CXu60GG1sf64WE0P5,192.168.0.66,35073,192.168.0.4,3986,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.410.050,CVGxUy3dSuflascvWl,192.168.0.66,35073,192.168.0.4,19283,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.410.050,CDfcKe4I0NbD6VV3Ti,192.168.0.66,35073,192.168.0.4,55055,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.410.050,CTq2E83xzORZLcLo48,192.168.0.66,35073,192.168.0.4,65389,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.410.050,Cktik930KuAy35DbL7,192.168.0.66,35073,192.168.0.4,648,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.412.200,CZjd3a1gfrA8jUKyii,192.168.0.66,35073,192.168.0.4,2107,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.412.200,CLS58IdoJAs6cRsp1,192.168.0.66,35073,192.168.0.4,9594,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
