ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
time,string,addr,port,addr,port,enum,string,interval,count,count,string,bool,bool,count,string,count,count,count,count,set[string]
1.726.892.920.822.160,C3SjW19PcdtZ6deRg,192.168.0.66,39736,192.168.0.4,30263,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.920.872.640,CiTYfcMzO9v3L7Yn2,192.168.0.66,39736,192.168.0.4,20154,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.920.923.260,CAphGE3uxtD9LUvy9h,192.168.0.66,39738,192.168.0.4,30263,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.920.973.650,CaLutm12Do699oz4Sg,192.168.0.66,39738,192.168.0.4,20154,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.921.024.300,CdRTjJ1GJj5kCKM6Fk,192.168.0.66,39740,192.168.0.4,30263,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.921.074.800,CReEvH1O2Q1Zbv4Cke,192.168.0.66,39740,192.168.0.4,20154,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.921.125.270,CT4yrl44Ci7fiKgPIc,192.168.0.66,39742,192.168.0.4,30263,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.921.175.830,CAphyo4O4uvVIFuZgg,192.168.0.66,39742,192.168.0.4,20154,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.921.226.410,Cvwuzo1CB1rUoD7gug,192.168.0.66,39736,192.168.0.4,773,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.921.276.910,CafVkD1eV9WBhpexfj,192.168.0.66,39736,192.168.0.4,21644,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.921.299.330,CzzP422pZCDIyXzlj2,192.168.0.4,44763,168.181.126.28,123,udp,ntp,52.254,48,48,SF,T,F,0,Dd,1,76,1,76,-
1.726.892.921.327.410,C82n8P39Sg28BL7vNe,192.168.0.66,39738,192.168.0.4,773,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.921.377.950,CHLgZ54GR5M2y7T0J4,192.168.0.66,39738,192.168.0.4,21644,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.921.428.420,Cl2QEz2tEAHeoXf9ai,192.168.0.66,39740,192.168.0.4,773,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.921.471.500,CLsJuQ37jtsdcRnBDl,185.59.247.138,11169,192.168.0.4,6881,udp,-,702,118,297,SF,F,T,0,Dd,1,146,1,325,-
1.726.892.921.478.930,CLrqV725G0RmeABuf9,192.168.0.66,39740,192.168.0.4,21644,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.921.529.530,C9t13l4ucjeFoBNMK3,192.168.0.66,39742,192.168.0.4,773,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.921.580.040,CLBpcJX2bJufKN0Ih,192.168.0.66,39742,192.168.0.4,21644,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.921.630.530,C73Vg8BUGCFgk5pW,192.168.0.66,39736,192.168.0.4,34796,udp,-,-,-,-,S0,T,T,0,D,1,68,0,0,-
1.726.892.921.681.160,COnbfm4uNMollHA4dh,192.168.0.66,39736,192.168.0.4,903,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.921.731.650,CpjIko48S1GjtUHuhg,192.168.0.66,39738,192.168.0.4,34796,udp,-,-,-,-,S0,T,T,0,D,1,68,0,0,-
1.726.892.921.782.170,CmvI2w4aNPCJ6Rzd01,192.168.0.66,39738,192.168.0.4,903,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.921.832.650,CYXrQl1XHliQylcHAh,192.168.0.66,39740,192.168.0.4,34796,udp,-,-,-,-,S0,T,T,0,D,1,68,0,0,-
1.726.892.921.883.270,CzAhJK9wf5OqZiy51,192.168.0.66,39732,192.168.0.4,113,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.921.933.780,C2BQ4WFTOw4m1e8l3,192.168.0.66,39742,192.168.0.4,34796,udp,-,-,-,-,S0,T,T,0,D,1,68,0,0,-
1.726.892.921.984.260,CeNyAo258H9EEKQEGb,192.168.0.66,39734,192.168.0.4,113,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.922.034.790,CSe1rr1tHGPYkPyb2b,192.168.0.66,39732,192.168.0.4,51905,udp,-,-,-,-,S0,T,T,0,D,1,68,0,0,-
1.726.892.922.085.300,CLiaJM1Ux6z22XbsC8,192.168.0.66,39736,192.168.0.4,113,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.922.135.780,C07mAN1LTvfWbN59tl,192.168.0.66,39734,192.168.0.4,51905,udp,-,-,-,-,S0,T,T,0,D,1,68,0,0,-
1.726.892.922.186.430,CRk2dL5r4dKaeoVw9,192.168.0.66,39738,192.168.0.4,113,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.922.236.800,CUuqWK2RdeezupkPF7,192.168.0.66,39736,192.168.0.4,51905,udp,-,-,-,-,S0,T,T,0,D,1,68,0,0,-
1.726.892.922.287.410,CKZYJo4wIFTiyuUDEh,192.168.0.66,39740,192.168.0.4,113,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.922.300.430,CdnVML2rgf77dFlTY6,192.168.0.4,6881,124.225.94.101,40029,udp,-,-,-,-,S0,T,F,0,D,1,48,0,0,-
1.726.892.922.338.060,CPtopt3MNtb8ML5634,192.168.0.66,39738,192.168.0.4,51905,udp,-,-,-,-,S0,T,T,0,D,1,68,0,0,-
1.726.892.922.388.530,CZint04kkX9xbc6eCi,192.168.0.66,39742,192.168.0.4,113,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.922.438.660,ChOFnZ15ZIZq8dejla,192.168.0.66,39740,192.168.0.4,51905,udp,-,-,-,-,S0,T,T,0,D,1,68,0,0,-
1.726.892.922.488.780,C75MR23UfZCt8LjBpk,192.168.0.66,39732,192.168.0.4,27899,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.922.538.780,Cvu8R83NW1GR0ezZKf,192.168.0.66,39742,192.168.0.4,51905,udp,-,-,-,-,S0,T,T,0,D,1,68,0,0,-
1.726.892.922.552.950,CdILF11PXCugFz15qa,49.173.187.123,7715,192.168.0.4,6881,udp,-,723,115,309,SF,F,T,0,Dd,1,143,1,337,-
1.726.892.922.588.930,CEa9Gv10Cjst5b1dfd,192.168.0.66,39734,192.168.0.4,27899,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.922.639.040,CpfRX42zPvVMPjnKi9,192.168.0.66,39732,192.168.0.4,1080,udp,-,-,-,-,S0,T,T,0,D,1,100,0,0,-
1.726.892.922.689.050,C3vY4U33oKwNWz2fV8,192.168.0.66,39736,192.168.0.4,27899,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.922.739.210,C1FXegzvCTAeGTHQ6,192.168.0.66,39734,192.168.0.4,1080,udp,-,-,-,-,S0,T,T,0,D,1,100,0,0,-
1.726.892.922.789.310,CWkKCm1vOLtMMxho87,192.168.0.66,39738,192.168.0.4,27899,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.922.839.300,Cp0VjF4M5jS3sa93Y9,192.168.0.66,39732,192.168.0.4,21742,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.922.889.430,CG6N182ipPX62dy8kk,192.168.0.66,39740,192.168.0.4,27899,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.922.939.450,CU1UQ92MRNQw6smZCl,192.168.0.66,39734,192.168.0.4,21742,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.922.989.540,CKr6Ag31WzvBhB8A0c,192.168.0.66,39742,192.168.0.4,27899,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.923.040.180,CC2e584sKfujcYpaMc,192.168.0.66,39736,192.168.0.4,21742,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.923.090.740,CSaiiN1Y8EupM1OAR,192.168.0.66,39732,192.168.0.4,49162,udp,-,-,-,-,S0,T,T,0,D,1,68,0,0,-
